2023-12-03 01:38:37 status unpacked sysvinit-utils:amd64 3.06-4
2023-12-03 01:38:37 install tar:amd64 <none> 1.34+dfsg-1.2
2023-12-03 01:38:37 status half-installed tar:amd64 1.34+dfsg-1.2
2023-12-03 01:38:37 status unpacked tar:amd64 1.34+dfsg-1.2
2023-12-03 01:38:37 install tzdata:all <none> 2023c-5
2023-12-03 01:38:37 status half-installed tzdata:all 2023c-5
2023-12-03 01:38:38 status unpacked tzdata:all 2023c-5
2023-12-03 01:38:38 install usrmerge:all <none> 35
2023-12-03 01:38:38 status half-installed usrmerge:all 35
2023-12-03 01:38:38 status unpacked usrmerge:all 35
2023-12-03 01:38:38 install bsdutils:amd64 <none> 1:2.38.1-5+b1
2023-12-03 01:38:38 status half-installed bsdutils:amd64 1:2.38.1-5+b1
2023-12-03 01:38:38 status unpacked bsdutils:amd64 1:2.38.1-5+b1
2023-12-03 01:38:39 install libblkid1:amd64 <none> 2.38.1-5+b1
2023-12-03 01:38:39 status half-installed libblkid1:amd64 2.38.1-5+b1
2023-12-03 01:38:39 status unpacked libblkid1:amd64 2.38.1-5+b1
2023-12-03 01:38:39 install libmount1:amd64 <none> 2.38.1-5+b1
2023-12-03 01:38:39 status half-installed libmount1:amd64 2.38.1-5+b1
2023-12-03 01:38:39 status unpacked libmount1:amd64 2.38.1-5+b1
2023-12-03 01:38:39 install libsmartcols1:amd64 <none> 2.38.1-5+b1
2023-12-03 01:38:39 status half-installed libsmartcols1:amd64 2.38.1-5+b1
2023-12-03 01:38:39 status unpacked libsmartcols1:amd64 2.38.1-5+b1
2023-12-03 01:38:39 install libuuid1:amd64 <none> 2.38.1-5+b1
2023-12-03 01:38:39 status half-installed libuuid1:amd64 2.38.1-5+b1
2023-12-03 01:38:39 status unpacked libuuid1:amd64 2.38.1-5+b1
2023-12-03 01:38:39 install mount:amd64 <none> 2.38.1-5+b1
2023-12-03 01:38:39 status half-installed mount:amd64 2.38.1-5+b1
2023-12-03 01:38:39 status unpacked mount:amd64 2.38.1-5+b1
2023-12-03 01:38:39 install util-linux:amd64 <none> 2.38.1-5+b1
2023-12-03 01:38:39 status half-installed util-linux:amd64 2.38.1-5+b1
2023-12-03 01:38:40 status unpacked util-linux:amd64 2.38.1-5+b1
2023-12-03 01:38:40 install util-linux-extra:amd64 <none> 2.38.1-5+b1
2023-12-03 01:38:40 status half-installed util-linux-extra:amd64 2.38.1-5+b1
2023-12-03 01:38:40 status unpacked util-linux-extra:amd64 2.38.1-5+b1
2023-12-03 01:38:40 install libxxhash0:amd64 <none> 0.8.1-1
2023-12-03 01:38:40 status half-installed libxxhash0:amd64 0.8.1-1
2023-12-03 01:38:40 status unpacked libxxhash0:amd64 0.8.1-1
2023-12-03 01:38:40 install liblzma5:amd64 <none> 5.4.1-0.2
2023-12-03 01:38:40 status half-installed liblzma5:amd64 5.4.1-0.2
2023-12-03 01:38:40 status unpacked liblzma5:amd64 5.4.1-0.2
2023-12-03 01:38:40 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2023-12-03 01:38:40 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
